mean,std,skew,kurt,label
-1.664274,9.461556,0.091117,4.275250,1
-1.358840,9.473831,0.416716,4.099677,1
-1.746922,9.418396,0.115305,3.931888,1
-1.726378,9.560010,0.290770,4.444410,1
-1.793136,9.637415,0.064694,4.450770,1
-1.661547,9.977635,0.169748,3.454206,1
-1.515073,9.042185,0.183937,3.524809,1
-1.530123,9.085467,0.285500,4.993295,1
-1.669810,9.306168,0.194830,4.306168,1
-1.530246,10.911088,-0.525465,21.085214,1
-1.142881,9.096831,0.260477,3.956101,1
-1.800496,8.964873,0.167094,4.842739,1
-1.401354,9.475822,0.382591,4.487374,1
-0.597541,9.382285,0.078586,5.103663,1
-0.265617,9.214439,0.273289,4.586624,1
-0.877715,9.589566,0.029175,4.111870,1
-0.577837,9.211172,0.144072,4.127911,1
-0.654191,9.310310,0.137557,4.113087,1
-0.638362,10.077916,-0.003193,7.575199,1
-0.473825,9.880401,0.611316,8.418208,1
-0.481760,9.330779,0.135703,4.879704,1
-0.667989,9.122787,0.190492,4.337224,1
-0.677564,9.081159,0.322171,4.425342,1
-0.629197,9.179327,-0.042136,4.392793,1
-1.075795,9.466521,0.183334,4.366119,1
-0.450595,9.540967,0.312028,4.527649,1
-0.600206,8.868116,0.113069,4.485736,1
-0.729006,8.977475,0.067293,3.779736,1
-0.817949,8.844673,0.195432,4.681623,1
-0.732615,9.166302,0.183311,4.773611,1
-0.671536,9.092662,0.194841,4.575942,1
-1.005326,10.766238,2.177064,31.251901,1
-0.859549,9.361887,-0.175626,4.668138,1
-1.007376,9.013577,-0.214707,4.452291,1
-0.487132,9.317309,0.171845,4.177530,1
-0.594609,9.105731,-0.090967,4.453572,1
-0.695648,9.366494,0.214424,3.989128,1
-0.931331,9.651309,0.284404,5.243734,1
-1.077763,9.007996,-0.091880,4.323126,1
-0.925979,9.125728,0.128093,4.240539,1
-0.499659,9.407501,0.317584,4.234424,1
-0.485307,9.072774,0.424883,4.639172,1
-0.641269,8.961046,-0.169981,5.800607,1
-2.742223,9.444228,0.040655,4.060320,1
-2.319675,10.779431,2.194621,26.388867,1
-2.644382,10.139847,0.308666,4.159370,1
-2.473448,9.812752,0.241526,3.387300,1
-2.530508,9.645178,0.098040,4.063458,1
-2.988751,10.043894,-1.176087,21.375488,1
-2.555050,10.263308,-0.223571,9.042580,1
-2.868583,9.514013,0.145210,3.618634,1
