mean,std,skew,kurt,label
1.221245,8.92958,0.114557,3.303611,0
2.071466,9.366263,0.058123,5.083601,2
3.552587,9.348626,0.51403,4.506916,1
3.997032,9.233884,0.225021,4.327848,2
0.666371,8.89633,0.170216,3.476269,1
2.671098,9.101109,0.089017,4.403738,2
1.630055,9.421845,-0.032145,4.204778,2
2.913076,9.462696,0.214219,3.638904,2
1.334237,8.778406,0.072302,4.930911,2
0.87218,9.532479,0.364735,4.388728,2
2.037082,8.834529,0.338192,4.919601,2
0.231747,9.543125,-0.066701,4.379911,2
3.215783,9.997856,0.182972,3.48326,2
0.257642,12.900669,-2.136478,25.597385,2
1.681416,8.938548,0.433604,4.064197,2
2.830612,11.392045,-2.13017,40.518793,2
-2.337164,9.796209,0.343209,3.895076,1
0.684044,9.389234,-0.035679,3.608697,0
1.510769,9.758403,0.08363,3.232689,2
0.731919,10.354476,-0.09368,4.454287,0
-1.246053,9.039195,0.245464,4.280844,1
0.262911,9.307418,-0.126659,4.563031,2
-0.375964,10.995704,1.290237,21.991301,1
-0.453199,9.507935,0.034437,3.077961,1
-0.473825,9.880401,0.611316,8.418208,1
1.989556,9.658208,0.353223,3.817006,0
-1.025337,9.081743,0.314145,3.938608,1
1.436773,8.717205,0.158758,5.091315,2
-0.77969,10.174823,-0.301748,4.638512,2
2.769636,9.357915,0.308101,3.945979,2
-0.638362,10.077916,-0.003193,7.575199,1
2.990311,9.656059,0.424399,3.601982,2
0.976746,9.605062,-0.082354,4.918908,2
2.335422,9.888214,0.120693,3.670003,2
1.670877,9.648818,0.069875,3.446636,2
2.384179,9.317361,0.143543,4.460728,2
4.092842,9.437606,0.451196,3.908361,1
2.280331,9.917272,0.150897,3.687499,2
3.24908,9.356407,0.376989,4.077634,2
3.752266,10.00649,0.094903,3.508415,2
-2.502583,10.89481,1.260268,24.444486,1
3.814226,10.830723,-2.265142,40.870822,2
2.796003,9.63265,0.46493,6.932393,2
1.629256,8.819887,0.349788,4.69334,2
3.722926,9.16963,0.246879,4.091639,1
-1.206666,9.843429,0.283744,3.312193,1
0.392142,9.576054,0.201792,4.281945,2
3.850496,9.438021,0.110908,3.70218,2
1.842262,8.952179,0.165751,3.838196,1
-1.350516,8.810275,0.388086,4.164844,1
2.012212,9.48794,0.028976,4.102163,2
-2.902146,10.59281,-2.656493,51.226676,1
-0.15162,9.325632,-0.10422,4.172776,1
-1.289499,10.215191,-1.295053,17.135964,1
1.04744,8.89301,0.224168,4.506979,0
0.705675,13.031942,0.680603,38.045479,2
1.400524,10.062438,0.053042,9.480669,2
2.126045,9.376479,0.521365,4.062469,2
1.325995,8.799099,0.311673,4.240876,1
1.123117,8.955782,0.286956,4.579031,2
1.138823,9.449806,0.094695,4.461623,2
-0.988514,9.302317,0.037996,4.030116,1
2.899646,9.448098,0.129866,3.933591,1
-1.444092,9.532861,0.175682,3.622087,2
-1.331694,9.272421,0.039442,4.035835,1
0.569043,9.244191,0.068124,3.824017,0
0.306624,9.715313,-0.037847,3.238835,2
0.930409,8.625586,0.32198,3.926011,1
-1.052012,9.201603,0.286655,3.634805,1
0.389682,9.225345,0.116553,4.097232,1
1.979059,9.141053,0.014032,4.452492,2
0.087836,9.76816,0.286549,5.671403,0
0.524838,9.418062,0.025841,3.719842,0
-1.864568,9.187584,0.011418,4.435567,1
1.404542,8.865217,0.342735,3.916934,1
2.63895,8.96288,-0.079249,4.31141,2
0.891822,9.431048,0.089649,4.10677,2
1.038378,8.886667,0.086649,4.152127,0
1.227027,9.363285,0.140791,4.892934,2
-0.364134,11.265371,-0.116551,6.8715,0
3.326786,9.668649,0.039697,3.536863,2
-1.252204,9.205608,0.270033,3.677511,1
1.409935,8.405762,0.240979,3.77017,1
-0.331101,11.079433,0.317919,7.762463,2
-3.09016,10.341977,-0.266139,5.446353,1
4.015648,9.089218,0.519827,3.291937,1
1.493157,9.974612,-1.030518,15.202774,2
3.468852,10.476126,0.395169,5.793309,2
-0.218029,9.740893,0.286858,3.247057,1
2.262472,9.653912,0.416399,4.010804,2
1.55075,8.425505,-0.030143,4.020694,1
-0.549318,8.896846,-0.189347,4.195248,1
1.11506,8.397205,0.056161,3.976637,0
0.646893,9.300133,0.166484,3.721078,0
1.010884,8.817102,0.168586,4.701697,2
2.943912,9.269609,-0.167442,4.32607,2
2.785567,9.839137,-0.091059,5.148611,2
0.585568,9.073638,0.262115,3.945273,2
2.126025,10.57183,-0.052263,6.436877,2
1.412559,9.352554,0.364032,4.762716,2
3.609852,9.123148,0.254653,4.880578,1
3.472666,11.336341,-0.538347,25.705311,2
-0.462056,9.471308,0.204401,4.104752,2
2.654901,9.965865,0.13659,3.437712,2
-0.591349,11.387575,1.416674,25.24202,2
1.183068,9.183571,0.002552,3.76889,1
1.704051,8.797854,0.039375,4.013648,1
0.735937,9.453107,0.033705,4.878265,2
1.841504,8.756472,0.000287,3.794371,2
1.404686,8.415579,-0.059588,4.447786,0
2.041552,9.438783,-0.039315,3.770787,2
1.725169,8.781537,0.117329,4.153978,1
1.243368,9.085417,0.222008,3.864715,0
3.263268,9.277098,-0.02461,4.470698,1
1.474847,8.927571,0.238268,3.672832,0
1.502116,8.921568,0.028861,5.044397,2
2.758237,9.083789,0.013273,4.162183,2
1.583268,8.863331,0.31364,3.749275,1
2.781754,9.472047,0.02232,3.729127,2
1.595159,9.024504,0.290282,3.815582,1
1.118176,9.780175,0.501104,4.304972,2
-0.024419,8.449029,0.219156,5.484161,2
0.563199,8.60491,0.080845,3.64152,1
2.471091,8.753661,-0.162934,3.917677,2
2.101831,9.134246,0.105627,4.5149,2
2.916828,9.44165,0.36583,4.311264,2
-3.231815,9.096421,0.194805,4.206753,1
3.281823,9.5887,0.234874,3.989906,2
2.098263,9.911523,0.081515,3.699514,2
3.001915,9.449007,-0.043893,4.450658,2
2.243917,9.610428,0.076727,4.254992,2
1.847757,8.802786,0.097233,3.050428,2
3.830526,9.676221,0.29509,3.516964,2
1.377294,9.420999,0.232799,4.215194,2
1.394885,10.780469,0.494028,5.045128,0
2.342106,9.794225,0.293503,4.723122,2
-0.921325,9.80534,0.251299,3.698217,1
3.375235,12.209857,0.345492,12.830798,2
-2.583037,8.979567,0.462593,4.380525,1
-2.833748,9.277348,0.094313,4.324451,1
3.454726,9.631078,0.420885,4.373517,2
-3.139018,9.559137,0.362726,3.915753,1
-2.889414,9.284778,-0.034292,3.83056,1
0.943715,9.60889,0.157078,3.983634,0
1.719305,9.496703,0.155418,4.199147,2
1.267684,8.973519,0.162806,3.936326,0
2.547998,8.754214,0.136166,4.459953,2
-3.240837,9.361653,-0.004054,4.38846,1
-0.414407,8.943911,0.140866,3.858629,1
2.681063,9.099115,0.395161,4.211845,2
-0.33545,9.083141,0.027388,3.801202,1
-0.015172,9.60591,0.224121,3.200822,2
-0.20991,9.708216,0.187749,2.877624,2
1.157829,8.833916,0.178338,3.485019,1
-2.471767,11.43702,4.605667,81.875127,1
1.486411,8.936729,0.410241,5.090174,2
2.025026,9.032906,-0.064108,4.588936,2
-0.388697,9.421039,0.335934,4.826987,1
0.867075,9.960674,-0.123733,6.521998,2
2.164386,9.486211,0.437028,3.432019,2
3.213446,9.804348,-0.141053,3.696817,2
3.509366,9.541292,0.1967,3.955261,2
1.905473,8.689235,0.390883,5.043519,2
0.729561,9.783878,0.189834,3.613275,0
1.503777,8.595118,0.239028,4.018657,0
0.972256,9.957065,-0.174783,6.727435,2
0.210608,9.109495,-0.025061,3.796997,2
-0.245524,9.458973,-0.031198,4.645047,1
0.720704,9.514945,0.396418,4.405388,2
1.303934,9.226792,0.298448,4.146979,2
-0.120434,9.091479,0.220482,4.90498,1
2.876601,8.867061,0.341278,4.489255,2
1.617918,10.413938,-0.792584,10.88797,2
1.636165,9.826999,0.124352,3.926553,2
-0.744486,8.983911,-0.075903,4.357702,1
0.465974,9.661691,0.162658,3.565284,2
0.71402,10.277926,1.052672,25.163826,2
-0.357655,8.935502,0.162672,4.41816,1
-0.611995,9.084573,0.258361,3.924009,1
1.676987,9.480274,0.124147,5.864417,2
3.662524,9.812258,0.012248,7.410165,2
